{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0552, 'n_source': 50, 'n_target': 100, 'lipton': 0.38, 'prop-target': 0.8098591549295775, 'oracle': 0.39, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0548, 'n_source': 50, 'n_target': 100, 'lipton': 0.38, 'prop-target': 0.7217567567567565, 'oracle': 0.39, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0498, 'n_source': 50, 'n_target': 100, 'lipton': 0.55, 'prop-target': 0.4061538461538462, 'oracle': 0.39, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0547, 'n_source': 50, 'n_target': 100, 'lipton': 0.39, 'prop-target': 0.7234782608695653, 'oracle': 0.38, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0536, 'n_source': 50, 'n_target': 100, 'lipton': 0.29, 'prop-target': 0.6235051546391753, 'oracle': 0.29, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0537, 'n_source': 50, 'n_target': 100, 'lipton': 0.62, 'prop-target': 0.29354838709677417, 'oracle': 0.31, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0577, 'n_source': 50, 'n_target': 100, 'lipton': 0.26, 'prop-target': 0.8142586750788643, 'oracle': 0.25, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0572, 'n_source': 50, 'n_target': 100, 'lipton': 0.29, 'prop-target': 0.9063354037267083, 'oracle': 0.3, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.054, 'n_source': 50, 'n_target': 100, 'lipton': 0.5, 'prop-target': 0.36613138686131375, 'oracle': 0.37, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0581, 'n_source': 50, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.5599999999999998, 'oracle': 0.27, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.06, 'n_source': 50, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.9156048387096777, 'oracle': 0.35, 'iter': 99}
